Ticker,Date,Open,High,Low,Close,Volume,RSI
RTX,2024-09-25,120.51000213623047,121.44999694824219,120.36000061035156,120.9000015258789,5713600,54.65289841557301
DHR,2024-09-16,276.69000244140625,278.2799987792969,275.5,276.0299987792969,1904500,62.70708574514295
DHR,2024-09-17,275.8999938964844,276.42999267578125,271.05999755859375,272.4700012207031,2158500,55.71562515232524
DHR,2024-09-18,271.67999267578125,275.8699951171875,268.0400085449219,271.8999938964844,2477900,59.81843350411844
DHR,2024-09-19,275.44000244140625,278.2900085449219,273.6000061035156,276.42999267578125,3294000,64.12490689426761
DHR,2024-09-20,275.2799987792969,275.2799987792969,270.260009765625,272.6300048828125,9267300,54.76739294290872
DHR,2024-09-23,273.7300109863281,274.9100036621094,271.8299865722656,273.1499938964844,1954600,64.73892601340516
DHR,2024-09-24,272.5400085449219,275.7300109863281,271.0400085449219,274.20001220703125,2834400,65.63611238335992
DHR,2024-09-25,276.1700134277344,276.2099914550781,266.8599853515625,267.8800048828125,2535400,54.26650598727872
CAT,2024-09-16,348.3500061035156,351.4599914550781,344.2900085449219,347.9599914550781,1648200,47.186606609641835
CAT,2024-09-17,350.0,354.5799865722656,349.239990234375,353.69000244140625,2088400,52.07626976566214
CAT,2024-09-18,355.0,361.6300048828125,352.32000732421875,355.1199951171875,1990700,55.72846035849045
CAT,2024-09-19,363.0,374.69000244140625,361.2699890136719,373.30999755859375,4066600,64.41781495023788
CAT,2024-09-20,370.3999938964844,371.45001220703125,365.8399963378906,368.82000732421875,5440500,58.45969492985383
CAT,2024-09-23,368.989990234375,372.9700012207031,366.9800109863281,371.1700134277344,2442700,75.07703620788371
CAT,2024-09-24,380.0,389.42999267578125,379.5,385.92999267578125,4024300,83.71263437733515
CAT,2024-09-25,387.0,388.6400146484375,377.9200134277344,378.25,2661500,78.85832795344207
LMT,2024-09-16,574.4099731445312,577.0,568.989990234375,572.9199829101562,597700,62.562763557909186
LMT,2024-09-17,566.6599731445312,568.1099853515625,563.5999755859375,567.010009765625,739900,55.92462762536037
LMT,2024-09-18,566.3200073242188,569.5399780273438,562.280029296875,565.489990234375,731700,51.40727779914039
LMT,2024-09-19,566.469970703125,567.530029296875,562.1599731445312,565.1799926757812,917500,48.36564686599153
LMT,2024-09-20,563.0800170898438,573.5,562.9400024414062,571.9199829101562,3794400,53.37575660162221
LMT,2024-09-23,571.5,581.75,570.8200073242188,580.510009765625,884500,60.33600170127444
LMT,2024-09-24,578.9299926757812,581.1599731445312,576.1500244140625,578.6300048828125,690100,53.28440244682203
LMT,2024-09-25,581.5599975585938,583.75,576.8599853515625,577.9400024414062,844500,58.80246485104936
HON,2024-09-16,206.0,206.9499969482422,203.72999572753906,204.67999267578125,1562200,46.91409571087721
HON,2024-09-17,205.0,205.74000549316406,203.5500030517578,204.24000549316406,1441600,46.03982152182118
HON,2024-09-18,204.24000549316406,204.72000122070312,200.58999633789062,201.63999938964844,2391400,43.30676925115794
HON,2024-09-19,204.16000366210938,205.5399932861328,202.17999267578125,203.6999969482422,2695200,42.271808312420845
HON,2024-09-20,203.7899932861328,203.7899932861328,201.9600067138672,203.35000610351562,3829800,40.7317030810379
HON,2024-09-23,204.00999450683594,204.0500030517578,202.61000061035156,203.77000427246094,2263800,47.51934958717177
HON,2024-09-24,203.77000427246094,206.0,202.69000244140625,205.27000427246094,2581700,49.407658459898606
HON,2024-09-25,206.1999969482422,207.75999450683594,205.25999450683594,206.77999877929688,2858100,58.73966749277593
UPS,2024-09-16,128.19000244140625,129.50999450683594,127.97000122070312,128.91000366210938,4589600,53.834478707510456
UPS,2024-09-17,130.0,131.5,129.4199981689453,130.64999389648438,3141700,59.221975527597586
UPS,2024-09-18,131.0,132.1300048828125,130.4600067138672,130.64999389648438,2939600,62.18307112209075
UPS,2024-09-19,132.75,133.57000732421875,131.7899932861328,132.1300048828125,4092300,66.6451149956724
UPS,2024-09-20,128.5,129.1999969482422,126.54000091552734,128.60000610351562,14211500,50.14343955535051
UPS,2024-09-23,129.3800048828125,129.39999389648438,127.8499984741211,128.74000549316406,2991700,53.75304228955669
UPS,2024-09-24,129.39999389648438,129.80999755859375,128.6199951171875,129.52000427246094,3829500,51.88918740247061
UPS,2024-09-25,129.5399932861328,131.80999755859375,129.24000549316406,131.50999450683594,5048200,62.568787047480036
DE,2024-09-16,396.0,399.6000061035156,393.1199951171875,394.6600036621094,940200,71.83263970826373
DE,2024-09-17,396.5,400.1199951171875,395.45001220703125,397.8800048828125,983200,73.80435698425093
DE,2024-09-18,398.0,405.989990234375,396.8900146484375,401.07000732421875,1163500,74.48116207286998
DE,2024-09-19,406.5199890136719,412.45001220703125,403.3399963378906,409.7300109863281,1751000,76.83139280733079
DE,2024-09-20,406.6199951171875,409.9100036621094,402.4800109863281,405.8900146484375,2709400,69.4011431311639
DE,2024-09-23,405.0199890136719,410.260009765625,404.07000732421875,408.95001220703125,1184500,71.16855545322545
DE,2024-09-24,411.739990234375,415.75,407.3699951171875,410.8900146484375,1253600,68.70802476132141
DE,2024-09-25,412.8399963378906,413.8699951171875,406.07000732421875,406.92999267578125,923600,75.08634127765326
LIN,2024-09-16,474.42999267578125,475.489990234375,470.3900146484375,474.9100036621094,1307200,52.81861071616957
LIN,2024-09-17,475.5199890136719,476.9800109863281,470.510009765625,471.6600036621094,1357100,49.30385631484365
LIN,2024-09-18,471.6600036621094,471.6600036621094,464.7300109863281,467.0299987792969,1149900,44.515762911068606
LIN,2024-09-19,472.79998779296875,473.1499938964844,468.6099853515625,469.1700134277344,1897200,46.76363858309659
LIN,2024-09-20,469.5,472.1099853515625,466.75,471.9100036621094,3672700,43.92953256445246
LIN,2024-09-23,474.70001220703125,479.19000244140625,472.1000061035156,477.3599853515625,1148400,53.09519297941218
LIN,2024-09-24,478.95001220703125,480.760009765625,475.489990234375,479.3500061035156,1588600,56.742622402315554
LIN,2024-09-25,481.0,481.6000061035156,475.70001220703125,477.010009765625,1283800,61.660263156101756
